$comp=ec2004

UPDATE Player;uid[unique=true];competitions(code)[mode=append]
;ppetersonson_cuppy;$comp
;demo_cuppy;$comp
;hweaving_cuppy;$comp
;sbrueck_cuppy;$comp
;hpneumann_cuppy;$comp
;ahertz_cuppy;$comp
;abrode_cuppy;$comp
;hschweiger_cuppy;$comp
;dkaufmann_cuppy;$comp
;kvitali_cuppy;$comp
;bpoweronoff_cuppy;$comp
;tbullet_cuppy;$comp
;hjaehnig_cuppy;$comp
;mdigit_cuppy;$comp
;ovh_cuppy;$comp
;nvp_cuppy;$comp
;ariel_cuppy;$comp
;sternthaler;$comp
;pp;$comp

INSERT_UPDATE MatchBet;player(uid)[unique=true];match(id,group(code,competition(code[default=ec2004])))[unique=true];guestGoals;homeGoals
;sternthaler;25:QUARTER;5;1;
;sternthaler;26:QUARTER;1;4;
;sternthaler;27:QUARTER;0;5;
;sternthaler;28:QUARTER;5;3;
;sternthaler;29:SEMI;0;3;
;sternthaler;31:FINAL;5;4;
;ppetersonson_cuppy;25:QUARTER;5;0;
;ppetersonson_cuppy;26:QUARTER;3;2;
;ppetersonson_cuppy;27:QUARTER;4;2;
;ppetersonson_cuppy;28:QUARTER;1;3;
;ppetersonson_cuppy;29:SEMI;0;2;
;ppetersonson_cuppy;30:SEMI;4;2;
;ppetersonson_cuppy;31:FINAL;0;3;
;demo_cuppy;25:QUARTER;3;1;
;demo_cuppy;26:QUARTER;4;1;
;demo_cuppy;27:QUARTER;0;0;
;demo_cuppy;28:QUARTER;1;4;
;demo_cuppy;29:SEMI;4;0;
;demo_cuppy;30:SEMI;0;3;
;demo_cuppy;31:FINAL;0;3;
;hweaving_cuppy;25:QUARTER;2;3;
;hweaving_cuppy;26:QUARTER;3;1;
;hweaving_cuppy;27:QUARTER;4;4;
;hweaving_cuppy;28:QUARTER;3;4;
;hweaving_cuppy;29:SEMI;0;3;
;hweaving_cuppy;30:SEMI;2;2;
;sbrueck_cuppy;25:QUARTER;3;5;
;sbrueck_cuppy;26:QUARTER;0;3;
;sbrueck_cuppy;28:QUARTER;2;0;
;sbrueck_cuppy;29:SEMI;1;4;
;sbrueck_cuppy;30:SEMI;4;3;
;sbrueck_cuppy;31:FINAL;3;3;
;hpneumann_cuppy;25:QUARTER;2;4;
;hpneumann_cuppy;26:QUARTER;2;1;
;hpneumann_cuppy;27:QUARTER;2;5;
;hpneumann_cuppy;28:QUARTER;1;0;
;hpneumann_cuppy;29:SEMI;4;0;
;hpneumann_cuppy;30:SEMI;4;3;
;hpneumann_cuppy;31:FINAL;2;3;
;ahertz_cuppy;26:QUARTER;0;1;
;ahertz_cuppy;27:QUARTER;4;2;
;ahertz_cuppy;28:QUARTER;4;4;
;ahertz_cuppy;29:SEMI;3;2;
;ahertz_cuppy;30:SEMI;3;0;
;ahertz_cuppy;31:FINAL;3;2;
;abrode_cuppy;25:QUARTER;5;3;
;abrode_cuppy;26:QUARTER;2;2;
;abrode_cuppy;27:QUARTER;2;3;
