$comp=ec2008

UPDATE Player;uid[unique=true];competitions(code)[mode=append]
;ppetersonson_cuppy;$comp
;demo_cuppy;$comp
;hweaving_cuppy;$comp
;sbrueck_cuppy;$comp
;hpneumann_cuppy;$comp
;ahertz_cuppy;$comp
;abrode_cuppy;$comp
;hschweiger_cuppy;$comp
;dkaufmann_cuppy;$comp
;kvitali_cuppy;$comp
;bpoweronoff_cuppy;$comp
;tbullet_cuppy;$comp
;hjaehnig_cuppy;$comp
;mdigit_cuppy;$comp
;ovh_cuppy;$comp
;nvp_cuppy;$comp
;ariel_cuppy;$comp
;sternthaler;$comp
;pp;$comp

INSERT_UPDATE MatchBet;player(uid)[unique=true];match(id,group(code,competition(code[default=$comp])))[unique=true];guestGoals;homeGoals
;sternthaler;1:A;5;5;
;sternthaler;2:A;1;4;
;sternthaler;3:B;0;0;
;sternthaler;4:B;2;1;
;sternthaler;5:C;2;0;
;sternthaler;6:C;5;0;
;sternthaler;7:D;3;0;
;sternthaler;9:A;5;2;
;sternthaler;10:A;0;5;
;sternthaler;11:B;0;1;
;sternthaler;12:B;3;4;
;sternthaler;13:C;0;1;
;sternthaler;14:C;2;1;
;sternthaler;15:D;3;1;
;sternthaler;16:D;3;0;
;sternthaler;17:A;3;4;
;sternthaler;18:A;3;1;
;sternthaler;19:B;2;5;
;sternthaler;20:B;3;2;
;sternthaler;21:C;5;1;
;sternthaler;22:C;5;2;
;sternthaler;23:D;0;1;
;sternthaler;24:D;4;3;
;ppetersonson_cuppy;1:A;0;4;
;ppetersonson_cuppy;2:A;0;4;
;ppetersonson_cuppy;3:B;4;4;
;ppetersonson_cuppy;4:B;4;0;
;ppetersonson_cuppy;5:C;1;3;
;ppetersonson_cuppy;6:C;2;5;
;ppetersonson_cuppy;7:D;5;0;
;ppetersonson_cuppy;8:D;2;3;
;ppetersonson_cuppy;9:A;3;1;
;ppetersonson_cuppy;10:A;3;4;
;ppetersonson_cuppy;11:B;5;3;
;ppetersonson_cuppy;12:B;1;3;
;ppetersonson_cuppy;13:C;1;4;
;ppetersonson_cuppy;14:C;5;2;
;ppetersonson_cuppy;15:D;1;2;
;ppetersonson_cuppy;17:A;0;3;
;ppetersonson_cuppy;18:A;4;2;
;ppetersonson_cuppy;19:B;4;1;
;ppetersonson_cuppy;20:B;0;0;
;ppetersonson_cuppy;21:C;1;5;
;ppetersonson_cuppy;22:C;3;2;
;ppetersonson_cuppy;23:D;2;5;
;ppetersonson_cuppy;24:D;1;0;
;demo_cuppy;1:A;4;0;
;demo_cuppy;2:A;4;4;
;demo_cuppy;3:B;3;5;
;demo_cuppy;4:B;2;2;
;demo_cuppy;5:C;1;1;
;demo_cuppy;6:C;5;2;
;demo_cuppy;7:D;3;0;
;demo_cuppy;8:D;0;0;
;demo_cuppy;9:A;0;4;
;demo_cuppy;10:A;1;1;
;demo_cuppy;11:B;1;2;
;demo_cuppy;12:B;5;3;
;demo_cuppy;13:C;1;0;
;demo_cuppy;14:C;4;3;
;demo_cuppy;15:D;2;0;
;demo_cuppy;16:D;3;2;
;demo_cuppy;17:A;5;3;
;demo_cuppy;18:A;5;1;
;demo_cuppy;19:B;0;5;
;demo_cuppy;20:B;2;2;
;demo_cuppy;21:C;4;5;
;demo_cuppy;22:C;3;5;
;demo_cuppy;23:D;2;2;
;demo_cuppy;24:D;1;0;
;hweaving_cuppy;1:A;0;0;
;hweaving_cuppy;2:A;5;5;
;hweaving_cuppy;3:B;2;3;
;hweaving_cuppy;4:B;4;5;
;hweaving_cuppy;5:C;2;3;
;hweaving_cuppy;6:C;1;2;
;hweaving_cuppy;7:D;3;3;
;hweaving_cuppy;8:D;2;3;
;hweaving_cuppy;9:A;5;1;
;hweaving_cuppy;10:A;4;0;
;hweaving_cuppy;12:B;5;4;
;hweaving_cuppy;13:C;5;3;
;hweaving_cuppy;14:C;2;0;
;hweaving_cuppy;15:D;5;4;
;hweaving_cuppy;16:D;4;3;
;hweaving_cuppy;17:A;2;0;
;hweaving_cuppy;18:A;5;0;
;hweaving_cuppy;19:B;0;4;
;hweaving_cuppy;20:B;4;2;
;hweaving_cuppy;21:C;2;1;
;hweaving_cuppy;22:C;4;5;
;hweaving_cuppy;23:D;2;5;
;hweaving_cuppy;24:D;4;2;
;sbrueck_cuppy;1:A;0;4;
;sbrueck_cuppy;2:A;5;2;
;sbrueck_cuppy;4:B;4;0;
;sbrueck_cuppy;5:C;1;1;
;sbrueck_cuppy;6:C;5;4;
;sbrueck_cuppy;7:D;4;3;
;sbrueck_cuppy;8:D;4;5;
;sbrueck_cuppy;9:A;1;3;
;sbrueck_cuppy;10:A;2;1;
;sbrueck_cuppy;11:B;2;5;
;sbrueck_cuppy;12:B;1;0;
;sbrueck_cuppy;14:C;5;1;
;sbrueck_cuppy;15:D;1;5;
;sbrueck_cuppy;17:A;5;4;
;sbrueck_cuppy;18:A;3;3;
;sbrueck_cuppy;19:B;3;3;
;sbrueck_cuppy;20:B;5;5;
;sbrueck_cuppy;21:C;1;2;
;sbrueck_cuppy;22:C;0;2;
;sbrueck_cuppy;23:D;5;2;
;sbrueck_cuppy;24:D;5;2;
;hpneumann_cuppy;1:A;0;1;
;hpneumann_cuppy;2:A;0;5;
;hpneumann_cuppy;3:B;1;1;
;hpneumann_cuppy;4:B;1;1;
;hpneumann_cuppy;5:C;0;0;
;hpneumann_cuppy;6:C;4;1;
;hpneumann_cuppy;7:D;5;0;
;hpneumann_cuppy;8:D;1;4;
;hpneumann_cuppy;9:A;1;4;
;hpneumann_cuppy;10:A;2;4;
;hpneumann_cuppy;11:B;3;1;
;hpneumann_cuppy;12:B;0;5;
;hpneumann_cuppy;13:C;0;1;
;hpneumann_cuppy;14:C;4;3;
;hpneumann_cuppy;15:D;1;4;
;hpneumann_cuppy;16:D;2;3;
;hpneumann_cuppy;17:A;4;2;
;hpneumann_cuppy;18:A;3;1;
