$comp=wc2002

UPDATE Player;uid[unique=true];competitions(code)[mode=append]
;ppetersonson_cuppy;$comp
;demo_cuppy;$comp
;hweaving_cuppy;$comp
;sbrueck_cuppy;$comp
;hpneumann_cuppy;$comp
;ahertz_cuppy;$comp
;abrode_cuppy;$comp
;hschweiger_cuppy;$comp
;dkaufmann_cuppy;$comp
;kvitali_cuppy;$comp
;bpoweronoff_cuppy;$comp
;tbullet_cuppy;$comp
;hjaehnig_cuppy;$comp
;mdigit_cuppy;$comp
;ovh_cuppy;$comp
;nvp_cuppy;$comp
;ariel_cuppy;$comp
;sternthaler;$comp
;pp;$comp

INSERT_UPDATE MatchBet;player(uid)[unique=true];match(id,group(code,competition(code[default=$comp])))[unique=true];guestGoals;homeGoals
;sternthaler;50:LAST16;3;5;
;sternthaler;51:LAST16;5;5;
;sternthaler;52:LAST16;1;1;
;sternthaler;53:LAST16;3;4;
;sternthaler;54:LAST16;0;2;
;sternthaler;55:LAST16;4;0;
;sternthaler;56:LAST16;1;5;
;sternthaler;57:QUARTER;0;5;
;sternthaler;58:QUARTER;5;3;
;sternthaler;59:QUARTER;4;3;
;sternthaler;60:QUARTER;3;5;
;sternthaler;61:SEMI;4;0;
;sternthaler;63:THIRD;0;4;
;sternthaler;64:FINAL;1;2;
;ppetersonson_cuppy;49:LAST16;4;0;
;ppetersonson_cuppy;50:LAST16;4;5;
;ppetersonson_cuppy;51:LAST16;0;4;
;ppetersonson_cuppy;52:LAST16;4;4;
;ppetersonson_cuppy;53:LAST16;2;1;
;ppetersonson_cuppy;54:LAST16;0;2;
;ppetersonson_cuppy;55:LAST16;5;2;
;ppetersonson_cuppy;56:LAST16;2;5;
;ppetersonson_cuppy;57:QUARTER;5;0;
;ppetersonson_cuppy;58:QUARTER;2;0;
;ppetersonson_cuppy;59:QUARTER;5;2;
;ppetersonson_cuppy;60:QUARTER;1;4;
;ppetersonson_cuppy;61:SEMI;2;4;
;ppetersonson_cuppy;63:THIRD;1;4;
;ppetersonson_cuppy;64:FINAL;3;2;
;demo_cuppy;49:LAST16;4;3;
;demo_cuppy;50:LAST16;1;1;
;demo_cuppy;51:LAST16;1;5;
;demo_cuppy;52:LAST16;0;3;
;demo_cuppy;53:LAST16;0;5;
;demo_cuppy;54:LAST16;3;0;
;demo_cuppy;55:LAST16;4;2;
;demo_cuppy;56:LAST16;4;0;
;demo_cuppy;57:QUARTER;5;1;
;demo_cuppy;58:QUARTER;3;0;
;demo_cuppy;59:QUARTER;0;0;
;demo_cuppy;60:QUARTER;4;4;
;demo_cuppy;61:SEMI;4;0;
;demo_cuppy;62:SEMI;5;2;
;demo_cuppy;63:THIRD;4;2;
;demo_cuppy;64:FINAL;3;5;
;hweaving_cuppy;49:LAST16;3;4;
;hweaving_cuppy;50:LAST16;5;0;
;hweaving_cuppy;51:LAST16;4;1;
;hweaving_cuppy;52:LAST16;4;1;
;hweaving_cuppy;53:LAST16;3;2;
;hweaving_cuppy;54:LAST16;3;0;
;hweaving_cuppy;55:LAST16;2;1;
;hweaving_cuppy;56:LAST16;0;0;
;hweaving_cuppy;57:QUARTER;4;1;
;hweaving_cuppy;58:QUARTER;5;0;
;hweaving_cuppy;59:QUARTER;2;0;
;hweaving_cuppy;60:QUARTER;2;4;
;hweaving_cuppy;62:SEMI;4;0;
;hweaving_cuppy;63:THIRD;1;1;
;hweaving_cuppy;64:FINAL;1;3;
;sbrueck_cuppy;49:LAST16;1;2;
;sbrueck_cuppy;51:LAST16;1;1;
;sbrueck_cuppy;52:LAST16;5;3;
;sbrueck_cuppy;53:LAST16;5;1;
;sbrueck_cuppy;54:LAST16;3;3;
;sbrueck_cuppy;55:LAST16;0;3;
;sbrueck_cuppy;56:LAST16;3;4;
;sbrueck_cuppy;57:QUARTER;5;0;
;sbrueck_cuppy;58:QUARTER;0;0;
;sbrueck_cuppy;59:QUARTER;5;3;
;sbrueck_cuppy;60:QUARTER;2;3;
;sbrueck_cuppy;61:SEMI;5;0;
;sbrueck_cuppy;62:SEMI;4;1;
;sbrueck_cuppy;63:THIRD;5;2;
;hpneumann_cuppy;49:LAST16;2;4;
;hpneumann_cuppy;50:LAST16;5;2;
;hpneumann_cuppy;51:LAST16;2;3;
;hpneumann_cuppy;52:LAST16;3;3;
;hpneumann_cuppy;53:LAST16;0;5;
;hpneumann_cuppy;54:LAST16;2;0;
;hpneumann_cuppy;55:LAST16;5;0;
;hpneumann_cuppy;56:LAST16;1;0;
;hpneumann_cuppy;57:QUARTER;4;0;
;hpneumann_cuppy;58:QUARTER;1;5;
;hpneumann_cuppy;59:QUARTER;3;0;
;hpneumann_cuppy;60:QUARTER;4;0;
;hpneumann_cuppy;61:SEMI;5;1;
;hpneumann_cuppy;62:SEMI;3;1;
;hpneumann_cuppy;63:THIRD;2;2;
;hpneumann_cuppy;64:FINAL;4;3;
;ahertz_cuppy;49:LAST16;4;0;
;ahertz_cuppy;50:LAST16;3;0;
;ahertz_cuppy;51:LAST16;2;3;
;ahertz_cuppy;52:LAST16;1;2;
;ahertz_cuppy;53:LAST16;3;2;
;ahertz_cuppy;54:LAST16;1;2;
;ahertz_cuppy;55:LAST16;1;3;
;ahertz_cuppy;56:LAST16;5;1;
;ahertz_cuppy;57:QUARTER;5;3;
;ahertz_cuppy;58:QUARTER;1;1;
;ahertz_cuppy;59:QUARTER;4;0;
;ahertz_cuppy;60:QUARTER;5;0;
;ahertz_cuppy;61:SEMI;2;0;
;ahertz_cuppy;62:SEMI;4;0;
;ahertz_cuppy;63:THIRD;5;2;
;ahertz_cuppy;64:FINAL;3;4;
;abrode_cuppy;49:LAST16;0;3;
;abrode_cuppy;50:LAST16;1;4;
;abrode_cuppy;51:LAST16;5;0;
;abrode_cuppy;52:LAST16;4;4;
;abrode_cuppy;53:LAST16;3;3;
;abrode_cuppy;54:LAST16;4;0;
;abrode_cuppy;55:LAST16;4;5;
;abrode_cuppy;57:QUARTER;2;2;
;abrode_cuppy;58:QUARTER;0;5;
;abrode_cuppy;59:QUARTER;2;2;
;abrode_cuppy;60:QUARTER;0;3;
;abrode_cuppy;61:SEMI;5;1;
;abrode_cuppy;62:SEMI;0;1;
;abrode_cuppy;63:THIRD;5;1;
;abrode_cuppy;64:FINAL;5;4;
;hschweiger_cuppy;49:LAST16;5;0;
;hschweiger_cuppy;50:LAST16;5;0;
;hschweiger_cuppy;51:LAST16;4;0;
;hschweiger_cuppy;52:LAST16;3;0;
;hschweiger_cuppy;53:LAST16;5;0;
;hschweiger_cuppy;54:LAST16;3;4;
;hschweiger_cuppy;55:LAST16;1;3;
;hschweiger_cuppy;56:LAST16;3;4;
;hschweiger_cuppy;57:QUARTER;5;1;
;hschweiger_cuppy;58:QUARTER;2;4;
;hschweiger_cuppy;59:QUARTER;5;0;
;hschweiger_cuppy;63:THIRD;2;4;
;hschweiger_cuppy;64:FINAL;1;2;
;dkaufmann_cuppy;49:LAST16;5;1;
;dkaufmann_cuppy;50:LAST16;5;5;
;dkaufmann_cuppy;51:LAST16;1;5;
;dkaufmann_cuppy;52:LAST16;2;3;
;dkaufmann_cuppy;53:LAST16;2;2;
;dkaufmann_cuppy;55:LAST16;0;5;
;dkaufmann_cuppy;57:QUARTER;4;1;
;dkaufmann_cuppy;58:QUARTER;4;2;
;dkaufmann_cuppy;59:QUARTER;2;5;
;dkaufmann_cuppy;60:QUARTER;4;0;
;dkaufmann_cuppy;61:SEMI;3;0;
;dkaufmann_cuppy;62:SEMI;5;2;
;dkaufmann_cuppy;63:THIRD;1;3;
;dkaufmann_cuppy;64:FINAL;2;4;
;kvitali_cuppy;49:LAST16;3;1;
;kvitali_cuppy;50:LAST16;4;3;
;kvitali_cuppy;51:LAST16;0;1;
;kvitali_cuppy;52:LAST16;2;3;
;kvitali_cuppy;53:LAST16;4;2;
;kvitali_cuppy;54:LAST16;1;3;
;kvitali_cuppy;55:LAST16;1;2;
;kvitali_cuppy;56:LAST16;2;0;
;kvitali_cuppy;57:QUARTER;5;4;
;kvitali_cuppy;59:QUARTER;3;3;
;kvitali_cuppy;60:QUARTER;1;4;
;kvitali_cuppy;61:SEMI;4;0;
;kvitali_cuppy;62:SEMI;1;5;
;kvitali_cuppy;63:THIRD;1;5;
;kvitali_cuppy;64:FINAL;2;1;
;bpoweronoff_cuppy;49:LAST16;3;2;
;bpoweronoff_cuppy;50:LAST16;3;4;
;bpoweronoff_cuppy;51:LAST16;3;0;
;bpoweronoff_cuppy;53:LAST16;5;4;
;bpoweronoff_cuppy;54:LAST16;5;1;
;bpoweronoff_cuppy;55:LAST16;0;5;
;bpoweronoff_cuppy;56:LAST16;4;4;
;bpoweronoff_cuppy;58:QUARTER;4;0;
;bpoweronoff_cuppy;59:QUARTER;1;5;
;bpoweronoff_cuppy;61:SEMI;5;0;
;bpoweronoff_cuppy;62:SEMI;3;0;
;bpoweronoff_cuppy;63:THIRD;5;2;
;bpoweronoff_cuppy;64:FINAL;3;1;
;tbullet_cuppy;49:LAST16;2;3;
;tbullet_cuppy;50:LAST16;2;2;
;tbullet_cuppy;51:LAST16;4;0;
;tbullet_cuppy;52:LAST16;0;3;
