$comp=wc2006

UPDATE Player;uid[unique=true];competitions(code)[mode=append];
;ppetersonson_cuppy;$comp
;demo_cuppy;$comp
;hweaving_cuppy;$comp
;sbrueck_cuppy;$comp
;hpneumann_cuppy;$comp
;ahertz_cuppy;$comp
;abrode_cuppy;$comp
;hschweiger_cuppy;$comp
;dkaufmann_cuppy;$comp
;kvitali_cuppy;$comp
;bpoweronoff_cuppy;$comp
;tbullet_cuppy;$comp
;hjaehnig_cuppy;$comp
;mdigit_cuppy;$comp
;ovh_cuppy;$comp
;nvp_cuppy;$comp
;ariel_cuppy;$comp
;sternthaler;$comp
;pp;$comp

INSERT_UPDATE MatchBet;player(uid)[unique=true];match(id,group(code,competition(code[default=wc2006])))[unique=true];guestGoals;homeGoals
;sternthaler;1:A;1;0;
;sternthaler;2:A;5;3;
;sternthaler;3:B;1;4;
;sternthaler;4:B;3;4;
;sternthaler;5:C;2;0;
;sternthaler;7:D;2;5;
;sternthaler;9:E;0;0;
;sternthaler;10:E;0;3;
;sternthaler;11:F;2;4;
;sternthaler;12:F;5;3;
;sternthaler;13:G;0;5;
;sternthaler;14:G;3;2;
;sternthaler;15:H;5;5;
;sternthaler;16:H;3;1;
;sternthaler;17:A;1;5;
;sternthaler;18:A;0;3;
;sternthaler;19:B;1;4;
;sternthaler;20:B;2;3;
;sternthaler;21:C;5;0;
;sternthaler;22:C;5;5;
;sternthaler;23:D;1;2;
;sternthaler;24:D;5;0;
;sternthaler;25:E;4;2;
;sternthaler;26:E;4;2;
;sternthaler;27:F;4;1;
;sternthaler;28:F;5;0;
;sternthaler;29:G;0;4;
;sternthaler;30:G;3;3;
;sternthaler;31:H;3;5;
;sternthaler;32:H;1;0;
;sternthaler;33:A;1;5;
;sternthaler;34:A;0;5;
;sternthaler;35:B;3;0;
;sternthaler;36:B;2;4;
;sternthaler;37:C;5;3;
;sternthaler;38:C;2;0;
;sternthaler;39:D;5;2;
;sternthaler;40:D;4;2;
;sternthaler;41:E;3;1;
;sternthaler;42:E;4;2;
;sternthaler;43:F;5;2;
;sternthaler;44:F;4;0;
;sternthaler;45:G;2;5;
;sternthaler;46:G;5;3;
;sternthaler;47:H;0;2;
;sternthaler;48:H;1;5;
;ppetersonson_cuppy;1:A;4;4;
;ppetersonson_cuppy;2:A;5;1;
;ppetersonson_cuppy;3:B;2;0;
;ppetersonson_cuppy;4:B;1;4;
;ppetersonson_cuppy;5:C;3;5;
;ppetersonson_cuppy;6:C;2;4;
;ppetersonson_cuppy;7:D;2;0;
;ppetersonson_cuppy;8:D;5;0;
;ppetersonson_cuppy;9:E;5;0;
;ppetersonson_cuppy;10:E;4;1;
;ppetersonson_cuppy;11:F;2;5;
;ppetersonson_cuppy;12:F;1;2;
;ppetersonson_cuppy;13:G;1;1;
;ppetersonson_cuppy;14:G;0;1;
;ppetersonson_cuppy;15:H;2;3;
;ppetersonson_cuppy;16:H;5;2;
;ppetersonson_cuppy;17:A;1;1;
;ppetersonson_cuppy;18:A;2;2;
;ppetersonson_cuppy;19:B;4;2;
;ppetersonson_cuppy;20:B;3;1;
;ppetersonson_cuppy;21:C;0;5;
;ppetersonson_cuppy;22:C;4;3;
;ppetersonson_cuppy;23:D;0;5;
;ppetersonson_cuppy;24:D;1;1;
;ppetersonson_cuppy;25:E;5;3;
;ppetersonson_cuppy;26:E;2;2;
;ppetersonson_cuppy;27:F;3;0;
;ppetersonson_cuppy;28:F;3;3;
;ppetersonson_cuppy;29:G;0;1;
;ppetersonson_cuppy;30:G;2;1;
