$comp=wc2010

update Match;id[unique=true];homeGoals;guestGoals;group(code,competition(code[default=$comp]))[unique=true]
# Group A
;1;1;1;A
;2;0;0;A
;17;0;3;A
;20;0;2;A
;33;1;2;A
;34;0;1;A

# Group B
;3;2;0;B
;4;1;0;B
;18;4;1;B
;19;2;1;B
;35;0;2;B
;36;2;2;B

# Group C
;5;1;1;C
;6;0;1;C
;22;2;2;C
;23;0;0;C
;37;0;1;C
;38;1;0;C

# Group D
;7;0;1;D
;8;4;0;D
;21;0;1;D
;25;1;1;D
;39;0;1;D
;40;2;1;D

# Group E
;9;2;0;E
;10;1;0;E
;24;1;0;E
;26;1;2;E
;43;1;2;E
;44;1;3;E

# Group F
;11;1;1;F
;12;1;1;F
;27;0;2;F
;28;1;1;F
;41;3;2;F
;42;0;0;F

# Group G
;13;0;0;G
;14;2;1;G
;29;3;1;G
;30;7;0;G
;45;0;0;G
;46;0;3;G

# Group H
;15;0;1;H
;16;0;1;H
;31;1;0;H
;32;2;0;H
;47;1;2;H
;48;0;0;H
