"UNSPSC_v5_0301";"Translation_German_5_0301";"English_Titles_ 5_0301"
"10000000";"Lebendige Pflanzen und Tierematerielle und Zubehören und Vorräte";"Live Plant and Animal Material and Accessories and Supplies"
"10100000";"Lebendige Tiere";"Live animals"
"10101500";"Viehbestand";"Livestock"
"10101501";"Katzen";"Cats"
"10101502";"Hunden";"Dogs"
"10101504";"Nerze";"Mink"
"10101505";"Ratten";"Rats"
"10101506";"Pferde";"Horses"
"10101507";"Schafe";"Sheep"
"10101508";"Ziegen";"Goats"
"10101509";"Esel";"Asses"
"10101510";"Mäuse";"Mice"
"10101511";"Schweine";"Swine"
"10101512";"Kaninchen";"Rabbits"
"10101513";"Meerschweinchen";"Guinea pigs"
"10101514";"Primaten";"Primates"
"10101515";"Gürteltiere";"Armadillos"
"10101516";"Vieh";"Cattle"
"10101517";"Kamele";"Camels"
"10101600";"Vögel und Hühner";"Birds and fowl"
"10101601";"Lebendige Hühnchen";"Live chickens"
"10101602";"Lebendige Enten";"Live ducks"
"10101603";"Lebendige Turkhähne";"Live turkeys"
"10101604";"Lebendige Gänse";"Live geese"
"10101605";"Lebendige Phasanen";"Live pheasants"
"10101700";"Lebendige Fische";"Live fish"
"10101701";"Lebendige Lachs";"Live salmon"
"10101702";"Lebendige Forelle";"Live trout"
"10101703";"Lebendige Talapia";"Live talapia"
"10101800";"Schellfisch und wirbellose Wassertiere";"Shellfish and aquatic invertebrates"
"10101801";"Lebendige Garnelen";"Live shrimp"
"10101802";"Lebendige Muscheln";"Live clams"
"10101803";"Lebendige Miesmuscheln";"Live mussels"
"10101804";"Lebendige Austern";"Live oysters"
"10101805";"Lebendige Krabben";"Live crabs"
"10101806";"Lebendige Meerohr";"Live abalone"
"10101807";"Lebendige Kraken";"Live octopi"
"10101808";"Lebendige Tintenfisch";"Live squid"
"10101900";"Insekten";"Insects"
"10101901";"Schmetterling";"Butterflies"
"10101902";"Käfer";"Beetles"
"10101903";"Bienen";"Bees"
"10101904";"Seidenraupen";"Silkworms"
"10102000";"Wilde Tiere";"Wild animals"
"10102001";"Elefanten";"Elephants"
"10110000";"Haustierprodukte";"Domestic pet products"
"10111300";"Haustier Behandlungen und Zubehöre und Anlagen";"Domestic pet treatments and accessories and equipment"
"10111301";"Haustier Spielwaren";"Pet toys"
"10111302";"Haustier Pflegungsprodukte";"Pet grooming products"
"10111303";"Haustierabfälle oder Anlagen für Haustierabfallwirtschaft";"Pet litter or equipment for pet waste management"
"10111304";"Haustier Futterbecken oder Anlagen";"Pet food bowls or equipment"
"10111305";"Medizinische Haustier Behandlungen";"Medicated pet treatments"
"10120000";"Tier Futter";"Animal feed"
"10121500";"Viehfütter";"Livestock feed"
"10121501";"Reininge Weizenkleie";"Pure wheat bran"
"10121502";"Futterhafer";"Feed oats"
"10121503";"Futterkorn";"Feed corn"
"10121504";"Futtersorghum";"Feed sorghum"
"10121505";"Heu";"Hay"
"10121506";"Oelkuchen";"Oil cake"
"10121600";"Vogel und Hühneressen";"Bird and fowl food"
"10121601";"Lebendige Essen für Vögel";"Live food for birds"
"10121602";"Vogelfutter";"Bird seed"
"10121603";"Vogelfutter Oder Imbisse";"Bird treats or snacks"
"10121604";"Geflügelfutter";"Poultry food"
"10121700";"Fischfutter";"Fish food"
"10121701";"Frisch oder gefrorene Pökel";"Fresh or frozen brine"
"10121702";"Fischfutter Schrotkörner";"Fish food pellets"
"10121703";"Fischfutter Flocken";"Fish food flakes"
"10121800";"Hund und Katzefutter";"Dog and cat food"
"10121801";"Trockene Futter für Hunden";"Dry food for dogs"
"10121802";"Feuchte Futter für Hunden";"Moist food for dogs"
"10121803";"Milch für Hunden und Katzen";"Milk for dogs or cats"
"10121804";"Trockene Futter für Katzen";"Dry food for cats"
"10121805";"Feuchte Futter für Katzen";"Moist food for cats"
"10121806";"Futter und Imbisse für Katzen und Hunden";"Treats or snacks for cats or dogs"
"10121900";"Nagetierfutter";"Rodent food"
"10121901";"Pelletisierte Futter für Nagetiere";"Pelletized food for rodents"
"10122000";"Reptilfutter";"Reptile food"
"10122001";"Pelletisierte Futter für Reptilen";"Pelletized food for reptiles"
"10122002";"Feuchte Futter für Reptilen";"Moist food for reptiles"
"10122003";"Lebendige Futter für Reptilen";"Live food for reptiles"
"10130000";"Tier Eindämmungen und Wohnungen";"Animal containment and habitats"
"10131500";"Tier Schutzdächer";"Animal shelters"
"10131506";"Tierställe";"Livestock stables"
"10131507";"Heimische Tierhäuser";"Domesticized pet houses"
"10131508";"Haustierbetten";"Pet beds"
"10131600";"Tier ";"Animal containment"
"10131601";"Käfige";"Cages"
"10131602";"Hundehuhüten";"Kennels"
"10131603";"Tiertragekasten";"Animal carrying cases"
"10131604";"Hundenläufe";"Dog runs"
"10131700";"Tierheimaten";"Animal habitats"
"10131701";"Terrarium";"Terrariums"
"10131702";"Aquarium";"Aquariums"
"10140000";"Sattlerei und Beschirrungswaren";"Saddlery and harness goods"
"10141500";"Sattlerei";"Saddlery"
"10141501";"Sättel";"Saddles"
"10141502";"Peitschen";"Whips"
"10141600";"Beschirrungswaren";"Harness goods"
"10141601";"Zaumzeuge";"Bridles"
"10141602";"Gabeln";"Yokes"
"10141603";"Trensen- und Kandarrengebisse";"Horse bits"
