"Elnumber";"ProductGroupID";"DescShort";"Grouping";"SupplierNo";"SequenceNo";"HeaderText";"FooterText";"Picture"
"1410221";"17546-X";"RS 16/1 I";"";"938211";"2000";"";"";"hlr-system/Print/GRUPPE14/1410221.eps"
"1410222";"17546-X";"RS 16/2 I";"";"938211";"3000";"";"";""
"1410204";"17546-X";"RS 16/3 I 10A";"";"938211";"4000";"";"";""
"1410223";"17546-X";"RS 16/2-1 I";"";"938211";"5000";"";"";""
"1410224";"17546-X";"RS 16/1+1+1I";"";"938211";"6000";"";"";""
"1410225";"17546-X";"RS 16/5 I";"";"938211";"7000";"";"";""
"1410226";"17546-X";"RS 16/6 I";"";"938211";"8000";"";"";"hlr-system/Print/GRUPPE14/1410226.eps"
"1410227";"17546-X";"RS 16/7 I";"";"938211";"9000";"";"";""
"1410229";"17546-X";"RS 16/6-6 I";"";"938211";"10000";"";"";""
"1410230";"17546-X";"RS 16/6.2 I";"";"938211";"11000";"";"";""
"1410228";"17546-X";"RS 16/1 I";"";"938211";"12000";"";"";""
"1410245";"17546-X";"RS 16/2 Av-På";"";"938211";"13000";"";"";""
"1410237";"17546-X";"RS 16/7 I lys";"";"938211";"14000";"";"";""
"1410298";"59805-X";"RS16/T10 V";"";"938211";"2000";"";"";"hlr-system/Print/GRUPPE14/1410298.eps"
"1410294";"59805-X";"RS16/2T 10";"";"938211";"3000";"";"";""
"1410293";"59805-X";"RS16/1T 10";"";"938211";"4000";"";"";""
"1410286";"17576-X";"Nøkkelkortbryter RS 16/1 NKI";"";"938211";"2000";"";"";"hlr-system/Print/GRUPPE14/1410286.eps"
"1410287";"17576-X";"Nøkkelkortbryter RS16/2 I NK  2-pol";"";"938211";"3000";"";"";""
"1410200";"17581-X";"RS 16";"";"938211";"2000";"";"";""
"1410201";"17581-X";"RS 16";"";"938211";"3000";"";"";""
"1410202";"17581-X";"RS 16";"";"938211";"4000";"";"";""
"1410203";"17581-X";"RS16";"";"938211";"5000";"";"";""
"1410203";"17581-X";"RS 16";"";"938211";"6000";"";"";""
"1410283";"17587-X";"RS 16/2 M Innfelt";"";"938211";"2000";"";"";"hlr-system/Print/GRUPPE14/1410283.eps"
"1411892";"17587-X";"RS16/2 MP Påvegg";"";"938211";"3000";"";"";""
"1410724";"63959-X";"RS16 IP 44 SETT 1 HULL";"";"938211";"2000";"";"";""
"1410725";"63959-X";"RS16 IP 44 SETT 2 HULL";"";"938211";"3000";"";"";""
"1410770";"17597-X";"Festeramme L 339";"";"938211";"2000";"";"";""
"1410700";"63801-X";"Plus MARKISE INNFELT 2M     PH";"Brytere";"938211";"3000";"";"";"hlr-system/Print/GRUPPE14/1410700.eps"
"1410701";"63801-X";"Plus BRYTER INNFELT 2       PH";"Brytere";"938211";"4000";"";"";"hlr-system/Print/GRUPPE14/1410701.eps"
"1410702";"63801-X";"Plus BRYTER INNFELT 2-1    PH";"Brytere";"938211";"5000";"";"";""
"1410703";"63801-X";"Plus BRYTER INNFELT 1+1+1  PH";"Brytere";"938211";"6000";"";"";""
"1410704";"63801-X";"Plus BRYTER INNFELT 5       PH";"Brytere";"938211";"7000";"";"";""
"1410705";"63801-X";"Plus BRYTER INNFELT 6       PH";"Brytere";"938211";"8000";"";"";""
"1410706";"63801-X";"Plus BRYTER INNFELT 6-6     PH";"Brytere";"938211";"9000";"";"";""
"1410707";"63801-X";"Plus BRYTER INNFELT 7      PH";"Brytere";"938211";"10000";"";"";""
"1410708";"63801-X";"Plus MARKISE INNFELT 2M    ALU";"Brytere";"938211";"11000";"";"";""
"1410709";"63801-X";"Plus BRYTER INNFELT 2      ALU";"Brytere";"938211";"12000";"";"";""
"1410710";"63801-X";"Plus BRYTER INNFELT 2-1    ALU";"Brytere";"938211";"13000";"";"";"hlr-system/Print/GRUPPE14/1410710.eps"
"1410711";"63801-X";"Plus BRYTER INNFELT 1+1+1  ALU";"Brytere";"938211";"14000";"";"";""
"1410712";"63801-X";"Plus BRYTER INNFELT 5     ALU";"Brytere";"938211";"15000";"";"";""
"1410713";"63801-X";"Plus BRYTER INNFELT 6      ALU";"Brytere";"938211";"16000";"";"";""
"1410714";"63801-X";"Plus BRYTER INNFELT 6-6   ALU";"Brytere";"938211";"17000";"";"";""
"1410715";"63801-X";"Plus BRYTER INNFELT 7      ALU";"Brytere";"938211";"18000";"";"";""
"1410716";"63801-X";"Plus MARKISE INNFELT 2M     SO";"Brytere";"938211";"19000";"";"";""
