# Language
$lang=de


UPDATE Chapter;code[unique=true];title[lang=$lang];subTitle[lang=$lang];subTitle2[lang=$lang];header[lang=$lang];footer[lang=$lang];description[lang=$lang];$publication[unique=true];
;components;"Komponenten";
;datastorage;"Datenspeicher";
;cameras;"Kameras";
;binoculars;"Ferngläser";

;powersupplies;"Stromversorgung";

;filmcameras;"Filmkameras";
;digitalcameras;"Digitale Kameras";
;webcams;"Webcams";
;hand-heldcamcorders;"Camcorder";
;cameraaccessories_supplies;"Kamerazubehör";
