# Language
$lang=en


UPDATE Chapter;code[unique=true];title[lang=$lang];subTitle[lang=$lang];subTitle2[lang=$lang];header[lang=$lang];footer[lang=$lang];description[lang=$lang];$publication[unique=true];
;components;"Components";
;datastorage;"Data storage";
;cameras;"Cameras";
;binoculars;"Binoculars";

;powersupplies;"Power Supplies";

;filmcameras;"Film cameras";
;digitalcameras;"Digital Cameras";
;webcams;"Webcams";
;hand-heldcamcorders;"Hand-held Camcorders";
;cameraaccessories_supplies;"Camera Accessories & Supplies";
